"","Y2019 Unit Sales by Model","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Model","","Jan.","Feb.","Mar.","Apr.","May.","Jun.","Jul.","Aug.","Sep.","Oct.","Nov.","Dec.","Total"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Domestic","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","PC","Accent (RB)","  406 ","  370 ","  415 ","  467 ","  399 ","  404 ","  391 ","228 ","215 ","249 ","447 ","103 ","4,094 "
"","","Avante (AD)","  5,428 ","  4,973 ","  5,603 ","  5,774 ","  4,752 ","  5,654 ","  5,428 ","4,893 ","4,900 ","6,571 ","4,475 ","3,653 ","62,104 "
"","","IONIQ (AE HEV)","  113 ","  221 ","  303 ","  314 ","  288 ","  464 ","  469 ","289 ","456 ","338 ","258 ","330 ","3,843 "
"","","IONIQ (AE PHEV)","  2 ","","  32 ","  51 ","","  5 ","0","10 ","14 ","7 ","1 ","2 ","124 "
"","","IONIQ (AE EV)","  21 ","  62 ","  288 ","  133 ","  135 ","  244 ","  236 ","380 ","154 ","112 ","93 ","202 ","2,060 "
"","","i30 (PD)","  158 ","  106 ","  205 ","  149 ","  150 ","  84 ","  92 ","  142 ","109 ","  82 ","85 ","65 ","1,427 "
"","","Veloster (JS)","  82 ","  113 ","  130 ","  74 ","  133 ","  137 ","  104 ","91 ","73 ","45 ","104 ","84 ","1,170 "
"","","Veloster (JS N)","  112 ","  68 ","  71 ","  76 ","  160 ","  95 ","  74 ","70 ","58 ","82 ","55 ","84 ","1,005 "
"","","Sonata (LF)","  4,271 ","  5,363 ","  5,660 ","  2,529 ","  2,026 ","  1,865 ","  1,737 ","1,861 ","1,799 ","2,444 ","2,081 ","1,895 ","33,531 "
"","","Sonata (HEV)","  265 ","  317 ","  260 ","  172 ","  126 ","  70 ","  1 ","","","","","","1,211 "
"","","Sonata (PHEV)","  5 ","","  5 ","  7 ","","","","","","","","","17 "
"","","Sonata (DN8)","","","  111 ","  6,128 ","  11,224 ","  7,887 ","  6,333 ","5,547 ","4,045 ","6,531 ","5,548 ","5,452 ","58,806 "
"","","Sonata (DN8 HEV)","","","","","","","","985 ","1,312 ","1,713 ","1,203 ","1,225 ","6,438 "
"","","i40 (VF)","  7 ","  14 ","  16 ","  6 ","  16 ","  2 ","","2 ","","","","","63 "
"","","Grandeur (IG)","  7,627 ","  5,883 ","  7,470 ","  6,949 ","  5,553 ","  3,952 ","  3,846 ","  4,361 ","  3,653 ","  6,827 ","8,095 ","9,425 ","73,641 "
"","","Grandeur (HEV)","  2,450 ","  1,837 ","  3,061 ","  3,186 ","  2,774 ","  2,700 ","  2,289 ","1,153 ","1,161 ","3,040 ","2,312 ","3,745 ","29,708 "
"","","G70","  1,408 ","  1,310 ","  1,757 ","  1,662 ","  1,557 ","  1,382 ","  1,270 ","1,471 ","1,150 ","1,164 ","1,339 ","1,505 ","16,975 "
"","","G80","  2,479 ","  1,873 ","  2,195 ","  1,930 ","  1,958 ","  1,853 ","  1,726 ","2,071 ","1,496 ","1,786 ","1,214 ","1,703 ","22,284 "
"","","G90","  1,387 ","  960 ","  2,374 ","  2,806 ","  2,206 ","  1,166 ","  1,153 ","1,039 ","933 ","935 ","1,086 ","1,497 ","17,542 "
"","","Sub-total","26,221 ","23,470 ","29,956 ","32,413 ","33,457 ","27,964 ","25,149 ","24,593 ","21,528 ","31,926 ","28,396 ","30,970 ","336,043 "
"","","","","","","","","","","","","","","",""
"","RV","Venue","","","","","","","  1,753 ","3,701 ","3,690 ","2,645 ","1,977 ","3,101 ","16,867 "
"","","Kona ","  1,922 ","  1,722 ","  2,378 ","  3,001 ","  2,457 ","  2,309 ","  1,659 ","1,461 ","1,978 ","2,741 ","2,179 ","2,084 ","25,891 "
"","","Kona (HEV)","","","","","","","","5 ","765 ","671 ","689 ","1,041 ","3,171 "
"","","Kona (EV)","  388 ","  233 ","  2,151 ","  1,729 ","  1,871 ","  1,325 ","  1,528 ","1,008 ","893 ","1,009 ","852 ","600 ","13,587 "
"","","Tucson (TL)","  3,651 ","  2,638 ","  3,693 ","  3,860 ","  3,264 ","  2,976 ","  3,183 ","2,583 ","1,620 ","2,474 ","3,279 ","3,537 ","36,758 "
"","","Tucson (LMFC)","","","","","","","","","","","","","0"
"","","NEXO(FE)","  21 ","  72 ","  151 ","  363 ","  461 ","  478 ","  352 ","247 ","454 ","608 ","699 ","288 ","4,194 "
"","","Santa-Fe (DM)","","","","","","","","","","","","","0"
"","","Santa-Fe (TM)","  7,001 ","  7,023 ","  8,231 ","  6,759 ","  6,882 ","  8,192 ","  7,393 ","6,858 ","7,813 ","6,676 ","7,001 ","6,369 ","86,198 "
"","","Santa-Fe (NC)","","","","","","","","","","","","","0"
"","","Palisade (LX2)","  5,903 ","  5,769 ","  6,377 ","  6,583 ","  3,743 ","  3,127 ","  3,660 ","2,304 ","2,241 ","3,087 ","4,137 ","5,368 ","52,299 "
"","","Sub-total","18,886 ","17,457 ","22,981 ","22,295 ","18,678 ","18,407 ","19,528 ","18,167 ","19,454 ","19,911 ","20,813 ","22,388 ","238,965 "
"","","","","","","","","","","","","","","",""
"","CV","LCV","  13,130 ","  10,378 ","  14,349 ","  13,805 ","  12,921 ","  12,213 ","  13,409 ","8,434 ","7,257 ","10,775 ","11,746 ","10,975 ","139,392 "
"","","HCV","  2,203 ","  2,101 ","  2,825 ","  2,900 ","  2,700 ","  2,403 ","  2,200 ","1,703 ","1,900 ","2,300 ","2,205 ","2,002 ","27,442 "
"","","Sub-total","15,333 ","12,479 ","17,174 ","16,705 ","15,621 ","14,616 ","15,609 ","10,137 ","9,157 ","13,075 ","13,951 ","  12,977 ","166,834 "
"","Total","","60,440 ","53,406 ","70,111 ","71,413 ","67,756 ","60,987 ","60,286 ","52,897 ","50,139 ","64,912 ","63,160 ","  66,335 ","741,842 "
"","","","","","","","","","","","","","","",""
"","Export","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","PC","Accent (RB)","  3,195 ","  2,768 ","  3,497 ","  2,387 ","  2,715 ","  1,961 ","  3,089 ","1,791 ","575 ","413 ","179 ","110 ","22,680 "
"","","Avante (AD)","  12,919 ","  9,065 ","  11,673 ","  16,509 ","  13,640 ","  14,996 ","  11,829 ","9,878 ","10,293 ","13,052 ","8,298 ","10,428 ","142,580 "
"","","IONIQ (AE HEV)","  4,269 ","  3,146 ","  4,164 ","  4,621 ","  3,096 ","  2,774 ","  4,236 ","3,259 ","4,238 ","2,991 ","5,661 ","5,475 ","47,930 "
"","","IONIQ (AE PHEV)","  821 ","  379 ","  1,157 ","  1,172 ","  1,102 ","  1,236 ","  1,407 ","835 ","  1,178 ","  1,357 ","  1,280 ","  1,089 ","13,013 "
"","","IONIQ (AE EV)","  1,654 ","  570 ","  1,279 ","  1,041 ","  907 ","  657 ","  1,581 ","  1,284 ","1,271 ","2,533 ","2,039 ","1,928 ","16,744 "
"","","i30 (PD)","  3,198 ","  1,284 ","  2,993 ","  3,716 ","  3,309 ","  4,154 ","  4,642 ","1,904 ","  2,956 ","  3,162 ","  2,368 ","  2,357 ","36,043 "
"","","Veloster (JS)","  691 ","  904 ","  873 ","  867 ","  855 ","  1,403 ","  1,044 ","757 ","874 ","992 ","923 ","1,008 ","11,191 "
"","","Veloster (JS N)","  246 ","  110 ","  459 ","  19 ","  322 ","  343 ","  251 ","179 ","355 ","341 ","260 ","255 ","3,140 "
"","","Coupe (BK)","","","","","","","","","","","","","0"
"","","Sonata (LF)","  3,388 ","  2,538 ","  946 ","  1,408 ","  844 ","  890 ","  34 ","","","","","","10,048 "
"","","Sonata (HEV)","  488 ","  150 ","  253 ","  47 ","  344 ","  152 ","  455 ","321 ","36 ","","","","2,246 "
"","","Sonata (PHEV)","  85 ","  123 ","  112 ","","  78 ","  135 ","  240 ","136 ","7 ","","","","916 "
"","","Sonata (DN8)","  3 ","","","","  2 ","","  2,556 ","1,924 ","5,311 ","4,317 ","2,118 ","1,883 ","18,114 "
"","","Sonata (DN8 HEV)","","","","","","  5 ","","1 ","","7 ","","","13 "
"","","i40 (VF)","  258 ","  249 ","  554 ","  220 ","  298 ","  27 ","  1 ","","","","","","1,607 "
"","","Grandeur (IG)","  110 ","  373 ","  208 ","  42 ","  36 ","  267 ","  183 ","385 ","182 ","405 ","553 ","1 ","2,745 "
"","","Grandeur (HEV)","","","","","","","","","","","","","0"
"","","G70","  1,195 ","  306 ","  1,379 ","  888 ","  1,020 ","  1,667 ","  1,103 ","  373 ","  1,301 ","  519 ","  712 ","  743 ","11,206 "
"","","G80","  334 ","  439 ","  925 ","  1,009 ","  896 ","  1,200 ","  321 ","552 ","822 ","  279 ","89 ","19 ","6,885 "
"","","G80 (RG3)","","","","","","","","","3 ","","14 ","2 ","19 "
"","","G90","  33 ","  245 ","  555 ","  107 ","  301 ","  93 ","  65 ","49 ","26 ","133 ","362 ","235 ","2,204 "
"","","Sub-total","32,887 ","22,649 ","31,027 ","34,053 ","29,765 ","31,960 ","33,037 ","23,628 ","29,428 ","30,501 ","24,856 ","25,533 ","349,324 "
"","","","","","","","","","","","","","","",""
"","RV","Venue","","","1 ","","3 ","14 ","793 ","877 ","1,231 ","7,099 ","5,602 ","4,967 ","20,587 "
"","","Kona ","  15,763 ","  12,871 ","  18,805 ","  19,892 ","  17,987 ","  16,790 ","  18,679 ","16,920 ","13,513 ","25,087 ","18,675 ","17,695 ","212,677 "
"","","Kona (HEV)","  2 ","","","  1 ","","  471 ","  3,039 ","2,409 ","2,872 ","2,729 ","3,172 ","3,611 ","18,306 "
"","","Kona (EV)","  2,686 ","  1,935 ","  3,048 ","  2,674 ","  2,588 ","  2,594 ","  2,814 ","2,187 ","2,490 ","3,906 ","3,281 ","3,686 ","33,889 "
"","","Tucson (TL)","  20,798 ","  16,130 ","  21,957 ","  23,796 ","  21,157 ","  26,919 ","  21,069 ","20,814 ","11,449 ","20,548 ","21,066 ","22,748 ","248,451 "
"","","Tucson (LMFC)","","","","","","","","","","","","","0"
"","","NEXO(FE)","  64 ","  36 ","  73 ","  99 ","  52 ","  78 ","  80 ","39 ","54 ","61 ","65 ","92 ","793 "
"","","Santa-Fe (DM)","","","","","","","","","","","","","0"
"","","Santa-Fe (TM)","  4,505 ","  3,376 ","  3,208 ","  3,345 ","  3,009 ","  3,986 ","  4,551 ","4,146 ","2,900 ","4,090 ","3,723 ","4,071 ","44,910 "
"","","Santa-Fe (NC)","","","","","","  1 ","","","","","","","1 "
"","","Palisade (LX2)","  2 ","  1 ","  3 ","  123 ","  7,318 ","  5,891 ","  5,734 ","5,299 ","4,755 ","8,570 ","8,956 ","8,563 ","55,215 "
"","","GV80","","","","","","","","","","","","20 ","20 "
"","","Sub-total","43,820 ","34,349 ","47,095 ","49,930 ","52,114 ","56,744 ","56,759 ","52,691 ","39,264 ","72,090 ","64,540 ","65,453 ","634,849 "
"","","","","","","","","","","","","","","",""
"","CV","LCV","  4,481 ","  2,961 ","  5,229 ","  3,705 ","  4,265 ","  4,233 ","  3,967 ","3,672 ","2,641 ","2,728 ","2,298 ","3,250 ","43,430 "
"","","HCV","  1,237 ","  976 ","  1,116 ","  890 ","  1,393 ","  1,189 ","  1,212 ","1,049 ","884 ","1,155 ","2,124 ","1,731 ","14,956 "
"","","Sub-total","5,718 ","3,937 ","6,345 ","4,595 ","5,658 ","5,422 ","5,179 ","4,721 ","3,525 ","3,883 ","4,422 ","4,981 ","58,386 "
"","Total (excluding CKD)","","82,425 ","60,935 ","84,467 ","88,578 ","87,537 ","94,126 ","94,975 ","81,040 ","72,217 ","106,474 ","93,818 ","95,967 ","1,042,559 "
"","","","","","","","","","","","","","","",""
"","Grand Total","","142,865 ","114,341 ","154,578 ","159,991 ","155,293 ","155,113 ","155,261 ","133,937 ","122,356 ","171,386 ","156,978 ","162,302 ","1,784,401 "
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
